CustomerID,MonthlyCharges,TotalCharges,SupportTickets,EngagementScore,LeftCompany
CUST-00057,73.95,0.0,1,5,0
CUST-00058,32.41,0.0,0,3,0
CUST-00059,93.71,0.0,0,6,0
CUST-00060,64.98,0.0,1,3,0
CUST-00061,77.8,0.0,3,1,0
CUST-00062,110.44,0.0,1,9,0
CUST-00063,53.1,0.0,1,5,0
CUST-00064,51.62,0.0,2,2,0
CUST-00065,53.68,0.0,1,2,1
CUST-00066,60.42,0.0,2,9,1
CUST-00067,39.65,0.0,3,1,0
CUST-00068,92.75,0.0,2,10,0
CUST-00069,48.66,0.0,0,3,0
CUST-00070,113.35,0.0,1,10,1
CUST-00071,49.4,0.0,0,7,0
CUST-00072,53.0,0.0,2,1,0
CUST-00073,56.72,0.0,0,2,0
CUST-00074,99.17,0.0,3,6,0
CUST-00075,68.48,0.0,2,9,1
CUST-00076,103.74,0.0,0,9,0
CUST-00077,100.63,0.0,1,8,0
CUST-00078,113.65,0.0,1,3,0
CUST-00079,98.09,0.0,1,2,0
CUST-00080,34.66,0.0,0,1,1
CUST-00081,105.35,0.0,3,9,1
CUST-00082,114.43,0.0,2,5,0
CUST-00083,119.43,0.0,3,3,0
CUST-00084,41.27,0.0,1,10,0
CUST-00085,85.19,0.0,0,10,0
CUST-00086,47.94,0.0,1,5,0
CUST-00087,53.62,0.0,1,3,0
CUST-00088,97.1,0.0,2,9,0
CUST-00089,117.99,0.0,3,1,0
CUST-00090,83.53,0.0,0,1,0
CUST-00091,106.55,0.0,1,3,0
CUST-00092,30.79,0.0,2,6,0
CUST-00093,33.29,0.0,2,2,0
CUST-00094,83.7,0.0,2,1,0
CUST-00095,65.0,0.0,2,8,0
CUST-00096,110.08,0.0,1,10,1
CUST-00097,57.17,0.0,2,9,1
CUST-00098,68.88,0.0,4,10,0
CUST-00099,77.51,0.0,1,1,0
CUST-00100,54.57,0.0,2,3,0
CUST-00101,111.76,0.0,2,5,0
CUST-00102,71.8,0.0,1,7,0
CUST-00103,68.17,0.0,0,10,0
CUST-00104,106.48,0.0,2,4,1
CUST-00105,58.07,0.0,0,6,0
CUST-00106,103.57,0.0,1,1,0
CUST-00107,41.0,0.0,3,4,1
CUST-00108,46.44,0.0,2,8,0
CUST-00109,115.58,0.0,1,5,0
CUST-00110,105.82,0.0,4,8,1
CUST-00111,64.9,0.0,1,1,0
CUST-00112,87.46,0.0,1,10,0
CUST-00113,114.87,0.0,3,9,0
CUST-00114,49.06,0.0,1,4,0
CUST-00115,35.3,0.0,1,9,0
CUST-00116,78.37,0.0,2,8,0
CUST-00117,42.83,0.0,1,8,0
CUST-00118,46.85,0.0,1,2,0
CUST-00119,110.24,0.0,0,3,1
CUST-00120,30.66,0.0,6,10,0
CUST-00121,103.51,0.0,1,9,0
CUST-00122,76.52,0.0,1,3,0
CUST-00123,80.33,0.0,1,8,1
CUST-00124,90.46,0.0,2,5,0
CUST-00125,68.82,0.0,0,7,0
CUST-00126,40.4,0.0,1,4,1
CUST-00127,39.24,0.0,2,8,1
CUST-00128,97.89,0.0,1,4,1
CUST-00129,49.89,0.0,2,5,0
CUST-00130,32.52,0.0,0,1,0
CUST-00131,118.17,0.0,2,10,0
CUST-00132,118.24,0.0,0,8,0
CUST-00133,64.03,0.0,1,7,0
CUST-00134,32.29,0.0,2,5,0
CUST-00135,95.45,0.0,3,6,1
CUST-00136,104.79,0.0,2,1,1
CUST-00137,41.24,0.0,2,8,1
CUST-00138,42.18,0.0,3,9,0
CUST-00139,104.0,0.0,6,5,0
CUST-00140,112.97,0.0,1,10,0
CUST-00141,101.17,0.0,2,7,0
CUST-00142,48.06,0.0,2,10,0
CUST-00143,67.03,0.0,1,4,0
CUST-00144,84.07,0.0,0,6,1
CUST-00145,44.42,0.0,2,2,1
CUST-00146,48.95,0.0,3,4,1
CUST-00147,55.45,0.0,2,5,0
CUST-00148,75.85,0.0,1,9,0
CUST-00149,75.97,0.0,2,9,1
CUST-00150,103.28,0.0,3,8,0
CUST-00151,97.77,0.0,0,4,1
CUST-00152,112.24,0.0,2,6,1
CUST-00153,104.96,0.0,4,7,0
CUST-00154,52.84,0.0,0,1,1
CUST-00155,59.81,0.0,0,1,0
CUST-00156,75.03,0.0,1,4,0
CUST-00157,31.27,0.0,1,3,0
CUST-00158,111.35,0.0,1,10,0
CUST-00159,33.98,0.0,2,4,0
CUST-00160,59.01,0.0,3,9,0
CUST-00161,81.22,0.0,2,2,0
CUST-00162,76.6,0.0,1,4,1
CUST-00163,88.9,0.0,4,7,0
CUST-00164,77.47,0.0,2,2,0
CUST-00165,50.6,0.0,1,8,0
CUST-00166,48.09,0.0,0,10,1
CUST-00167,111.65,0.0,6,4,0
CUST-00168,53.75,0.0,1,9,1
CUST-00169,55.28,0.0,1,1,0
CUST-00170,67.16,0.0,3,7,0
CUST-00171,42.54,0.0,2,1,0
CUST-00172,75.65,0.0,1,10,0
CUST-00173,89.85,0.0,2,9,0
CUST-00174,100.74,0.0,0,10,0
CUST-00175,94.03,0.0,4,10,0
CUST-00176,43.28,0.0,2,1,0
CUST-00177,71.04,0.0,3,3,0
CUST-00178,33.46,0.0,1,7,1
CUST-00179,31.59,0.0,0,1,0
CUST-00180,69.61,0.0,1,5,0
CUST-00181,52.76,0.0,1,6,0
CUST-00182,91.5,0.0,1,3,0
CUST-00183,95.18,0.0,1,6,1
CUST-00184,110.59,0.0,2,4,0
CUST-00185,98.46,0.0,2,6,0
CUST-00186,34.33,0.0,3,6,0
CUST-00187,63.44,0.0,1,4,0
CUST-00188,54.56,0.0,2,1,0
CUST-00189,64.75,0.0,2,3,0
CUST-00190,44.4,0.0,1,10,0
CUST-00191,38.78,0.0,2,7,0
CUST-00192,76.88,0.0,3,2,1
CUST-00193,94.83,0.0,1,4,0
CUST-00194,93.17,0.0,0,6,0
CUST-00195,70.58,0.0,3,5,0
CUST-00196,77.0,0.0,0,6,0
CUST-00197,76.46,0.0,3,5,0
CUST-00198,92.24,0.0,1,9,0
CUST-00199,34.3,0.0,2,2,0
CUST-00200,93.89,0.0,3,4,0
CUST-00201,82.39,0.0,1,1,0
CUST-00202,47.82,0.0,2,7,0
CUST-00203,34.41,0.0,0,1,0
CUST-00204,39.76,0.0,3,6,0
CUST-00205,77.22,0.0,1,10,0
CUST-00206,98.25,0.0,6,10,0
CUST-00207,60.11,0.0,4,9,0
CUST-00208,64.11,0.0,1,2,0
CUST-00209,114.07,0.0,1,1,0
CUST-00210,49.16,0.0,4,10,1
CUST-00211,39.33,0.0,1,3,0
CUST-00212,60.9,0.0,1,6,0
CUST-00213,97.13,0.0,0,7,0
CUST-00214,86.34,0.0,3,8,1
CUST-00215,67.42,0.0,0,4,0
CUST-00216,116.83,0.0,3,8,0
CUST-00217,96.15,0.0,2,7,1
CUST-00218,35.56,0.0,1,8,1
CUST-00219,97.01,0.0,0,5,1
CUST-00220,32.15,0.0,1,10,0
CUST-00221,88.53,0.0,2,7,0
CUST-00222,48.94,0.0,2,4,0
CUST-00223,92.68,0.0,1,1,0
CUST-00224,57.87,0.0,1,3,0
CUST-00225,108.57,0.0,1,10,1
CUST-00226,60.32,0.0,0,9,1
CUST-00227,85.77,0.0,1,4,0
CUST-00228,55.73,0.0,4,5,0
CUST-00229,112.55,0.0,2,3,0
CUST-00230,100.29,0.0,2,6,0
CUST-00231,51.89,0.0,2,4,1
CUST-00232,115.39,0.0,2,5,0
CUST-00233,62.14,0.0,1,7,0
CUST-00234,88.66,0.0,4,7,0
CUST-00235,96.85,0.0,0,9,0
CUST-00236,32.05,0.0,4,2,0
CUST-00237,116.31,0.0,0,4,0
CUST-00238,60.99,0.0,1,8,0
CUST-00239,47.07,0.0,0,4,1
CUST-00240,106.56,0.0,2,3,0
CUST-00241,93.26,0.0,1,10,0
CUST-00242,37.8,0.0,1,6,0
CUST-00243,40.53,0.0,2,3,0
CUST-00244,94.36,0.0,0,2,0
CUST-00245,36.72,0.0,1,9,0
CUST-00246,112.54,0.0,1,3,1
CUST-00247,96.74,0.0,2,1,1
CUST-00248,60.19,0.0,0,9,0
CUST-00249,62.66,0.0,2,5,0
CUST-00250,75.58,0.0,1,7,1
CUST-00251,62.48,0.0,2,2,0
CUST-00252,100.51,0.0,1,1,0
CUST-00253,117.73,0.0,0,6,0
CUST-00254,82.6,0.0,3,5,0
CUST-00255,70.14,0.0,1,10,0
CUST-00256,50.04,0.0,3,6,0
CUST-00257,88.81,0.0,0,2,0
CUST-00258,91.7,0.0,1,7,0
CUST-00259,91.66,0.0,1,1,0
CUST-00260,32.42,0.0,1,8,1
CUST-00261,110.92,0.0,0,7,1
CUST-00262,60.42,0.0,2,7,0
CUST-00263,96.97,0.0,0,6,0
CUST-00264,98.38,0.0,0,10,0
CUST-00265,88.55,0.0,1,5,0
CUST-00266,65.53,0.0,1,9,0
CUST-00267,84.75,0.0,0,3,1
CUST-00268,33.61,0.0,1,9,0
CUST-00269,98.57,0.0,3,5,0
CUST-00270,38.95,0.0,1,8,0
CUST-00271,65.7,0.0,2,3,0
CUST-00272,39.32,0.0,3,7,0
CUST-00273,105.34,0.0,3,10,0
CUST-00274,79.52,0.0,0,4,0
CUST-00275,92.18,0.0,2,5,0
CUST-00276,91.43,0.0,1,4,1
CUST-00277,105.74,0.0,1,9,0
CUST-00278,41.92,0.0,1,7,0
CUST-00279,89.37,0.0,3,6,1
CUST-00280,81.76,0.0,0,6,0
CUST-00281,32.77,0.0,0,10,0
CUST-00282,48.12,0.0,0,7,0
CUST-00283,54.07,0.0,0,5,0
CUST-00284,36.52,0.0,0,10,0
CUST-00285,61.92,0.0,5,3,1
CUST-00286,32.44,0.0,0,3,0
CUST-00287,79.78,0.0,0,7,0
CUST-00288,49.03,0.0,4,10,0
CUST-00289,55.82,0.0,1,1,0
CUST-00290,111.94,0.0,3,4,0
CUST-00291,75.25,0.0,1,10,0
CUST-00292,54.2,0.0,1,8,0
CUST-00293,83.86,0.0,0,4,0
CUST-00294,48.14,0.0,2,1,0
CUST-00295,36.69,0.0,2,5,0
CUST-00296,31.87,0.0,0,1,0
CUST-00297,115.64,0.0,3,9,0
CUST-00298,95.21,0.0,2,8,0
CUST-00299,101.99,0.0,2,7,0
CUST-00300,118.28,0.0,2,5,0
CUST-00301,5000.0,0.0,2,4,0
CUST-00302,96.32,0.0,3,7,1
CUST-00303,92.46,0.0,2,3,1
CUST-00304,60.31,0.0,3,8,0
CUST-00305,39.35,0.0,2,5,0
CUST-00306,81.63,0.0,3,5,1
CUST-00307,81.86,0.0,3,1,0
CUST-00308,115.7,0.0,0,10,0
CUST-00309,69.83,0.0,0,8,1
CUST-00310,92.17,0.0,1,7,0
CUST-00311,81.74,0.0,3,1,0
CUST-00312,45.9,0.0,2,4,0
CUST-00313,83.28,0.0,1,4,0
CUST-00314,78.61,0.0,0,9,1
CUST-00315,74.45,0.0,3,10,0
CUST-00316,76.2,0.0,3,2,0
CUST-00317,44.75,0.0,2,4,0
CUST-00318,71.71,0.0,0,10,0
CUST-00319,84.5,0.0,1,3,0
CUST-00320,74.05,0.0,1,10,0
CUST-00321,73.98,0.0,0,5,0
CUST-00322,36.97,0.0,2,7,1
CUST-00323,47.16,0.0,2,5,0
CUST-00324,58.88,0.0,0,5,0
CUST-00325,67.74,0.0,1,4,0
CUST-00326,83.45,0.0,0,9,0
CUST-00327,107.7,0.0,3,6,0
CUST-00328,44.32,0.0,1,10,0
CUST-00329,31.35,0.0,0,6,0
CUST-00330,70.43,0.0,3,6,0
CUST-00331,68.88,0.0,0,6,0
CUST-00332,79.67,0.0,0,1,0
CUST-00333,104.99,0.0,1,6,0
CUST-00334,102.21,0.0,2,4,1
CUST-00335,38.99,0.0,0,2,0
CUST-00336,114.06,0.0,1,6,0
CUST-00337,39.93,0.0,0,1,1
CUST-00338,87.11,0.0,1,1,0
CUST-00339,90.51,0.0,1,5,1
CUST-00340,91.19,0.0,3,6,0
CUST-00341,53.87,0.0,4,2,0
CUST-00342,59.72,0.0,3,10,1
CUST-00343,79.38,0.0,1,8,1
CUST-00344,47.95,0.0,4,4,0
CUST-00345,31.82,0.0,1,4,0
CUST-00346,80.59,0.0,2,10,1
CUST-00347,71.87,0.0,1,5,0
CUST-00348,89.1,0.0,0,10,0
CUST-00349,43.19,0.0,1,4,0
CUST-00350,105.68,0.0,0,5,1
CUST-00351,43.15,0.0,1,10,1
CUST-00352,110.22,0.0,1,3,1
CUST-00353,70.45,0.0,2,8,0
CUST-00354,79.48,0.0,1,6,0
CUST-00355,110.69,0.0,3,8,0
CUST-00356,56.99,0.0,2,5,0
CUST-00357,46.36,0.0,0,7,0
CUST-00358,70.11,0.0,4,10,0
CUST-00359,51.99,0.0,1,7,0
CUST-00360,77.5,0.0,2,6,0
CUST-00361,54.77,0.0,0,10,0
CUST-00362,107.8,0.0,1,4,0
CUST-00363,84.66,0.0,2,6,1
CUST-00364,30.01,0.0,2,9,0
CUST-00365,102.49,0.0,1,4,0
CUST-00366,59.71,0.0,2,6,0
CUST-00367,58.81,0.0,2,6,0
CUST-00368,64.47,0.0,0,3,0
CUST-00369,86.72,0.0,5,4,1
CUST-00370,69.78,0.0,1,3,1
CUST-00371,86.57,0.0,1,3,0
CUST-00372,43.2,0.0,3,10,0
CUST-00373,117.31,0.0,0,4,0
CUST-00374,95.66,0.0,2,4,0
CUST-00375,52.51,0.0,3,6,0
CUST-00376,95.17,0.0,2,4,0
CUST-00377,81.75,0.0,2,6,1
CUST-00378,39.82,0.0,1,2,1
CUST-00379,46.03,0.0,2,4,1
CUST-00380,33.71,0.0,1,2,1
CUST-00381,102.83,0.0,3,8,0
CUST-00382,79.65,0.0,1,9,0
CUST-00383,58.5,0.0,0,7,0
CUST-00384,41.36,0.0,1,6,0
CUST-00385,73.56,0.0,1,8,0
CUST-00386,77.27,0.0,1,4,1
CUST-00387,93.17,0.0,0,10,0
CUST-00388,117.29,0.0,0,2,0
CUST-00389,69.14,0.0,1,4,0
CUST-00390,66.54,0.0,0,5,0
CUST-00391,63.29,0.0,0,9,0
CUST-00392,104.42,0.0,4,5,1
CUST-00393,44.06,0.0,2,9,0
CUST-00394,60.94,0.0,2,9,0
CUST-00395,95.24,0.0,4,8,1
CUST-00396,31.4,0.0,1,5,0
CUST-00397,56.04,0.0,0,2,0
CUST-00398,87.73,0.0,1,5,0
CUST-00399,46.73,0.0,2,1,0
CUST-00400,57.24,0.0,0,8,1
CUST-00401,73.74,0.0,3,2,0
CUST-00402,67.98,0.0,1,7,0
CUST-00403,39.53,0.0,3,2,0
CUST-00404,114.44,0.0,2,5,0
CUST-00405,33.98,0.0,2,10,0
CUST-00406,97.47,0.0,2,7,0
CUST-00407,36.42,0.0,1,6,0
CUST-00408,72.05,0.0,1,5,0
CUST-00409,45.78,0.0,2,6,0
CUST-00410,42.69,0.0,1,2,0
CUST-00411,41.32,0.0,1,10,1
CUST-00412,70.75,0.0,2,1,0
CUST-00413,76.39,0.0,0,1,0
CUST-00414,42.0,0.0,1,8,0
CUST-00415,118.15,0.0,2,3,0
CUST-00416,53.19,0.0,0,3,0
CUST-00417,71.29,0.0,0,9,0
CUST-00418,49.46,0.0,1,6,0
CUST-00419,74.45,0.0,2,4,0
CUST-00420,98.04,0.0,0,4,0
CUST-00421,76.89,0.0,2,7,1
CUST-00422,55.7,0.0,1,6,1
CUST-00423,52.35,0.0,1,2,0
CUST-00424,98.3,0.0,2,9,0
CUST-00425,40.63,0.0,1,2,0
CUST-00426,63.29,0.0,0,8,0
CUST-00427,43.62,0.0,1,4,1
CUST-00428,53.21,0.0,0,10,0
CUST-00429,43.73,0.0,2,1,0
CUST-00430,109.81,0.0,1,1,0
CUST-00431,95.87,0.0,1,9,0
CUST-00432,80.48,0.0,3,4,0
CUST-00433,50.19,0.0,2,1,0
CUST-00434,75.92,0.0,1,3,0
CUST-00435,76.87,0.0,3,3,0
CUST-00436,83.13,0.0,1,7,0
CUST-00437,35.4,0.0,0,6,0
CUST-00438,117.56,0.0,2,8,0
CUST-00439,71.88,0.0,1,7,0
CUST-00440,113.39,0.0,1,1,0
CUST-00441,30.87,0.0,0,3,0
CUST-00442,52.27,0.0,0,9,0
CUST-00443,39.35,0.0,2,4,0
CUST-00444,99.26,0.0,1,3,0
CUST-00445,58.8,0.0,2,5,0
CUST-00446,105.64,0.0,1,8,0
CUST-00447,104.91,0.0,2,1,0
CUST-00448,90.1,0.0,1,2,0
CUST-00449,89.92,0.0,1,7,0
CUST-00450,93.01,0.0,2,1,0
CUST-00451,90.64,0.0,3,5,0
CUST-00452,64.82,0.0,2,10,1
CUST-00453,91.45,0.0,1,8,1
CUST-00454,110.77,0.0,4,6,0
CUST-00455,59.92,0.0,0,3,1
CUST-00456,115.04,0.0,1,7,0
CUST-00457,31.21,0.0,2,3,0
CUST-00458,61.41,0.0,2,5,0
CUST-00459,41.88,0.0,0,7,0
CUST-00460,41.39,0.0,3,2,0
CUST-00461,103.39,0.0,2,10,0
CUST-00462,112.65,0.0,0,4,0
CUST-00463,100.0,0.0,0,2,1
CUST-00464,117.9,0.0,0,7,0
CUST-00465,49.46,0.0,1,3,0
CUST-00466,42.66,0.0,2,9,1
CUST-00467,76.86,0.0,2,6,0
CUST-00468,104.61,0.0,3,1,0
CUST-00469,33.58,0.0,0,10,0
CUST-00470,119.6,0.0,2,8,0
CUST-00471,84.2,0.0,2,7,0
CUST-00472,118.1,0.0,0,1,1
CUST-00473,62.85,0.0,0,3,0
CUST-00474,71.22,0.0,4,3,1
CUST-00475,97.71,0.0,0,3,0
CUST-00476,101.34,0.0,2,7,0
CUST-00477,50.97,0.0,2,6,0
CUST-00478,113.68,0.0,1,2,1
CUST-00479,108.07,0.0,1,5,0
CUST-00480,31.63,0.0,3,6,1
CUST-00481,41.56,0.0,0,2,0
CUST-00482,74.64,0.0,1,1,0
CUST-00483,71.48,0.0,2,4,0
CUST-00484,93.75,0.0,4,4,0
CUST-00485,38.06,0.0,0,4,0
CUST-00486,88.03,0.0,0,1,0
CUST-00487,85.47,0.0,2,3,0
CUST-00488,51.02,0.0,1,7,1
CUST-00489,78.81,0.0,1,4,1
CUST-00490,49.99,0.0,1,2,0
CUST-00491,43.21,0.0,0,8,0
CUST-00492,81.58,0.0,0,1,0
CUST-00493,117.97,0.0,2,9,1
CUST-00494,51.32,0.0,2,5,1
CUST-00495,61.97,0.0,4,2,0
CUST-00496,53.08,0.0,1,4,0
CUST-00497,53.97,0.0,1,3,0
CUST-00498,66.37,0.0,2,7,0
CUST-00499,93.16,0.0,2,6,1
CUST-00500,33.48,0.0,2,9,1
CUST-00501,116.14,0.0,0,4,0
CUST-00502,34.16,0.0,2,3,1
CUST-00503,109.31,0.0,1,7,0
CUST-00504,110.49,0.0,2,6,0
CUST-00505,77.2,0.0,3,5,0
CUST-00506,42.32,0.0,2,10,0
CUST-00507,80.86,0.0,1,7,0
CUST-00508,86.57,0.0,0,5,0
CUST-00509,107.2,0.0,2,9,0
CUST-00510,79.58,0.0,1,4,0
CUST-00511,66.96,0.0,2,1,1
CUST-00512,105.44,0.0,2,10,0
CUST-00513,118.29,0.0,3,5,0
CUST-00514,88.06,0.0,1,1,0
CUST-00515,108.69,0.0,2,1,0
CUST-00516,83.88,0.0,4,1,0
CUST-00517,92.08,0.0,2,1,0
CUST-00518,91.93,0.0,0,8,0
CUST-00519,93.43,0.0,1,2,0
CUST-00520,58.88,0.0,0,9,0
CUST-00521,81.81,0.0,0,7,0
CUST-00522,83.47,0.0,2,3,0
CUST-00523,58.35,0.0,3,9,0
CUST-00524,61.48,0.0,0,4,0
CUST-00525,98.6,0.0,3,7,0
CUST-00526,82.44,0.0,1,3,0
CUST-00527,43.42,0.0,2,5,0
CUST-00528,105.39,0.0,0,4,0
CUST-00529,109.48,0.0,2,6,0
CUST-00530,71.95,0.0,0,9,0
CUST-00531,48.79,0.0,0,5,0
CUST-00532,115.28,0.0,4,1,0
CUST-00533,109.4,0.0,0,5,0
CUST-00534,51.99,0.0,1,5,0
CUST-00535,38.59,0.0,0,9,0
CUST-00536,69.65,0.0,1,8,1
CUST-00537,90.87,0.0,1,5,0
CUST-00538,45.78,0.0,1,5,0
CUST-00539,76.18,0.0,2,2,0
CUST-00540,68.28,0.0,2,9,0
CUST-00541,110.15,0.0,2,4,0
CUST-00542,68.66,0.0,2,7,0
CUST-00543,78.04,0.0,2,10,0
CUST-00544,115.98,0.0,5,6,1
CUST-00545,56.97,0.0,4,5,1
CUST-00546,56.0,0.0,1,5,0
CUST-00547,101.96,0.0,1,7,1
CUST-00548,54.97,0.0,3,2,0
CUST-00549,104.87,0.0,0,9,0
CUST-00550,38.59,0.0,3,2,0
CUST-00551,40.0,0.0,1,9,0
CUST-00552,111.12,0.0,0,4,0
CUST-00553,78.67,0.0,0,10,0
CUST-00554,94.69,0.0,0,10,0
CUST-00555,50.27,0.0,1,6,0
CUST-00556,44.96,0.0,3,1,0
CUST-00557,105.14,0.0,1,5,1
CUST-00558,62.27,0.0,0,6,1
CUST-00559,70.95,0.0,1,9,0
CUST-00560,32.51,0.0,3,9,0
CUST-00561,64.72,0.0,1,9,0
CUST-00562,99.34,0.0,1,3,0
CUST-00563,103.91,0.0,2,4,1
CUST-00564,92.88,0.0,3,8,0
CUST-00565,92.29,0.0,4,8,0
CUST-00566,75.56,0.0,2,2,0
CUST-00567,78.45,0.0,2,8,0
CUST-00568,96.83,0.0,1,7,0
CUST-00569,52.25,0.0,3,9,0
CUST-00570,50.83,0.0,1,5,0
CUST-00571,115.49,0.0,2,2,0
CUST-00572,32.48,0.0,5,5,0
CUST-00573,42.54,0.0,1,2,0
CUST-00574,81.33,0.0,7,5,0
CUST-00575,96.4,0.0,2,9,0
CUST-00576,78.41,0.0,1,7,0
CUST-00577,61.95,0.0,0,7,0
CUST-00578,118.02,0.0,2,1,0
CUST-00579,93.34,0.0,3,9,0
CUST-00580,104.82,0.0,3,6,0
CUST-00581,33.61,0.0,3,7,0
CUST-00582,51.23,0.0,1,2,0
CUST-00583,63.67,0.0,1,1,1
CUST-00584,46.43,0.0,1,4,1
CUST-00585,36.55,0.0,2,9,1
CUST-00586,50.25,0.0,1,9,1
CUST-00587,78.02,0.0,2,3,0
CUST-00588,92.61,0.0,1,1,1
CUST-00589,99.66,0.0,2,2,0
CUST-00590,33.85,0.0,3,9,0
CUST-00591,68.51,0.0,1,9,0
CUST-00592,40.99,0.0,3,1,0
CUST-00593,68.8,0.0,1,9,1
CUST-00594,69.05,0.0,3,1,0
CUST-00595,74.83,0.0,5,10,0
CUST-00596,110.35,0.0,2,4,1
CUST-00597,102.46,0.0,3,5,0
CUST-00598,87.3,0.0,1,8,1
CUST-00599,109.69,0.0,2,5,1
CUST-00600,91.06,0.0,0,5,0
CUST-00601,103.7,0.0,2,4,0
CUST-00602,80.74,0.0,0,9,0
CUST-00603,77.26,0.0,1,8,1
CUST-00604,95.17,0.0,3,9,0
CUST-00605,31.76,0.0,1,7,0
CUST-00606,92.13,0.0,1,7,0
CUST-00607,114.11,0.0,3,5,0
CUST-00608,94.25,0.0,4,10,0
CUST-00609,33.3,0.0,0,1,1
CUST-00610,64.0,0.0,0,6,0
CUST-00611,102.86,0.0,2,10,1
CUST-00612,116.27,0.0,1,6,0
CUST-00613,63.31,0.0,0,10,0
CUST-00614,105.71,0.0,0,4,0
CUST-00615,107.74,0.0,2,2,0
CUST-00616,41.09,0.0,3,1,0
CUST-00617,106.12,0.0,2,3,0
CUST-00618,59.18,0.0,4,9,0
CUST-00619,83.39,0.0,2,1,0
CUST-00620,78.5,0.0,1,5,0
CUST-00621,89.67,0.0,1,10,0
CUST-00622,96.64,0.0,1,6,0
CUST-00623,69.67,0.0,1,9,0
CUST-00624,109.95,0.0,1,1,0
CUST-00625,102.85,0.0,2,5,0
CUST-00626,100.69,0.0,1,1,0
CUST-00627,71.24,0.0,4,2,1
CUST-00628,33.37,0.0,0,2,0
CUST-00629,74.3,0.0,4,5,0
CUST-00630,110.86,0.0,1,10,0
CUST-00631,47.13,0.0,2,4,0
CUST-00632,118.43,0.0,1,6,0
CUST-00633,102.69,0.0,5,5,0
CUST-00634,93.88,0.0,4,2,0
CUST-00635,90.94,0.0,1,9,1
CUST-00636,82.83,0.0,0,10,1
CUST-00637,94.86,0.0,3,8,0
CUST-00638,67.97,0.0,2,9,1
CUST-00639,106.07,0.0,2,6,0
CUST-00640,92.67,0.0,0,5,0
CUST-00641,99.41,0.0,1,5,0
CUST-00642,101.32,0.0,1,2,1
CUST-00643,38.28,0.0,3,4,1
CUST-00644,35.0,0.0,1,2,0
CUST-00645,102.09,0.0,2,2,0
CUST-00646,53.34,0.0,1,8,1
CUST-00647,82.37,0.0,2,4,0
CUST-00648,69.93,0.0,1,4,0
CUST-00649,31.97,0.0,1,7,0
CUST-00650,33.62,0.0,0,4,0
CUST-00651,104.44,0.0,0,9,0
CUST-00652,84.69,0.0,2,9,0
CUST-00653,77.14,0.0,1,3,0
CUST-00654,114.99,0.0,2,6,1
CUST-00655,45.57,0.0,2,7,0
CUST-00656,53.21,0.0,3,3,0
CUST-00657,98.1,0.0,2,4,1
CUST-00658,99.77,0.0,1,1,1
CUST-00659,66.43,0.0,2,9,0
CUST-00660,115.59,0.0,0,7,0
CUST-00661,114.44,0.0,1,10,0
CUST-00662,31.11,0.0,2,7,0
