CustomerID,SignupDate,ContractType,PaymentMethod,Age
CUST-00052,2023-01-03 03:00:00,One year,Bank Transfer,67
CUST-00053,2023-01-03 04:00:00,Two year,Mailed Check,41
CUST-00054,2023-01-03 05:00:00,Two year,Mailed Check,26
CUST-00055,2023-01-03 06:00:00,Month-to-month,Electronic Check,30
CUST-00056,2023-01-03 07:00:00,Two year,Mailed Check,19
CUST-00057,2023-01-03 08:00:00,Month-to-month,Mailed Check,24
CUST-00058,2023-01-03 09:00:00,Month-to-month,,65
CUST-00059,2023-01-03 10:00:00,Month-to-month,Electronic Check,38
CUST-00060,2023-01-03 11:00:00,Month-to-month,Bank Transfer,36
CUST-00061,2023-01-03 12:00:00,Month-to-month,Mailed Check,42
CUST-00062,2023-01-03 13:00:00,Month-to-month,Bank Transfer,64
CUST-00063,2023-01-03 14:00:00,Two year,Bank Transfer,39
CUST-00064,2023-01-03 15:00:00,Month-to-month,Electronic Check,28
CUST-00065,2023-01-03 16:00:00,Month-to-month,Credit Card,50
CUST-00066,2023-01-03 17:00:00,Month-to-month,Bank Transfer,49
CUST-00067,2023-01-03 18:00:00,Month-to-month,Credit Card,38
CUST-00068,2023-01-03 19:00:00,Two year,Mailed Check,56
CUST-00069,2023-01-03 20:00:00,Month-to-month,Electronic Check,37
CUST-00070,2023-01-03 21:00:00,Two year,Mailed Check,25
CUST-00071,2023-01-03 22:00:00,One year,Mailed Check,59
CUST-00072,2023-01-03 23:00:00,Month-to-month,Electronic Check,54
CUST-00073,2023-01-04 00:00:00,Month-to-month,Mailed Check,26
CUST-00074,2023-01-04 01:00:00,Two year,Electronic Check,42
CUST-00075,2023-01-04 02:00:00,One year,Credit Card,42
CUST-00076,2023-01-04 03:00:00,One year,Mailed Check,50
CUST-00077,2023-01-04 04:00:00,One year,Electronic Check,19
CUST-00078,2023-01-04 05:00:00,Month-to-month,Bank Transfer,36
CUST-00079,2023-01-04 06:00:00,Month-to-month,Mailed Check,63
CUST-00080,2023-01-04 07:00:00,Month-to-month,Credit Card,37
CUST-00081,2023-01-04 08:00:00,Two year,Electronic Check,59
CUST-00082,2023-01-04 09:00:00,One year,Mailed Check,58
CUST-00083,2023-01-04 10:00:00,Month-to-month,Mailed Check,59
CUST-00084,2023-01-04 11:00:00,Month-to-month,Mailed Check,46
CUST-00085,2023-01-04 12:00:00,Month-to-month,Credit Card,23
CUST-00086,2023-01-04 13:00:00,Month-to-month,Electronic Check,34
CUST-00087,2023-01-04 14:00:00,One year,Bank Transfer,77
CUST-00088,2023-01-04 15:00:00,One year,Bank Transfer,42
CUST-00089,2023-01-04 16:00:00,Two year,Bank Transfer,55
CUST-00090,2023-01-04 17:00:00,Month-to-month,Electronic Check,21
CUST-00091,2023-01-04 18:00:00,Month-to-month,Bank Transfer,47
CUST-00092,2023-01-04 19:00:00,One year,Credit Card,37
CUST-00093,2023-01-04 20:00:00,One year,Electronic Check,20
CUST-00094,2023-01-04 21:00:00,Month-to-month,,40
CUST-00095,2023-01-04 22:00:00,One year,Credit Card,68
CUST-00096,2023-01-04 23:00:00,Month-to-month,Mailed Check,35
CUST-00097,2023-01-05 00:00:00,Month-to-month,Bank Transfer,43
CUST-00098,2023-01-05 01:00:00,Month-to-month,Credit Card,73
CUST-00099,2023-01-05 02:00:00,Month-to-month,Electronic Check,53
CUST-00100,2023-01-05 03:00:00,Month-to-month,Credit Card,25
CUST-00101,2023-01-05 04:00:00,Month-to-month,Mailed Check,34
CUST-00102,2023-01-05 05:00:00,One year,Electronic Check,48
CUST-00103,2023-01-05 06:00:00,Month-to-month,Credit Card,54
CUST-00104,2023-01-05 07:00:00,Month-to-month,,62
CUST-00105,2023-01-05 08:00:00,Two year,Credit Card,74
CUST-00106,2023-01-05 09:00:00,Month-to-month,Credit Card,50
CUST-00107,2023-01-05 10:00:00,Month-to-month,Electronic Check,44
CUST-00108,2023-01-05 11:00:00,One year,Mailed Check,62
CUST-00109,2023-01-05 12:00:00,Month-to-month,Credit Card,21
CUST-00110,2023-01-05 13:00:00,Month-to-month,Electronic Check,39
CUST-00111,2023-01-05 14:00:00,Month-to-month,Mailed Check,43
CUST-00112,2023-01-05 15:00:00,Month-to-month,Credit Card,49
CUST-00113,2023-01-05 16:00:00,Two year,Mailed Check,41
CUST-00114,2023-01-05 17:00:00,Two year,Mailed Check,63
CUST-00115,2023-01-05 18:00:00,One year,Electronic Check,52
CUST-00116,2023-01-05 19:00:00,Two year,,54
CUST-00117,2023-01-05 20:00:00,Two year,Electronic Check,49
CUST-00118,2023-01-05 21:00:00,Month-to-month,Credit Card,24
CUST-00119,2023-01-05 22:00:00,Two year,Mailed Check,50
CUST-00120,2023-01-05 23:00:00,Month-to-month,Mailed Check,48
CUST-00121,2023-01-06 00:00:00,Two year,Bank Transfer,72
CUST-00122,2023-01-06 01:00:00,Two year,Credit Card,78
CUST-00123,2023-01-06 02:00:00,Month-to-month,Credit Card,29
CUST-00124,2023-01-06 03:00:00,Month-to-month,Bank Transfer,28
CUST-00125,2023-01-06 04:00:00,Month-to-month,Bank Transfer,41
CUST-00126,2023-01-06 05:00:00,Month-to-month,Electronic Check,25
CUST-00127,2023-01-06 06:00:00,Two year,,49
CUST-00128,2023-01-06 07:00:00,Two year,Mailed Check,74
CUST-00129,2023-01-06 08:00:00,Month-to-month,Mailed Check,55
CUST-00130,2023-01-06 09:00:00,Month-to-month,Mailed Check,77
CUST-00131,2023-01-06 10:00:00,Month-to-month,Mailed Check,39
CUST-00132,2023-01-06 11:00:00,Month-to-month,Electronic Check,51
CUST-00133,2023-01-06 12:00:00,Month-to-month,Credit Card,36
CUST-00134,2023-01-06 13:00:00,Month-to-month,Mailed Check,69
CUST-00135,2023-01-06 14:00:00,Two year,Credit Card,37
CUST-00136,2023-01-06 15:00:00,Month-to-month,Mailed Check,73
CUST-00137,2023-01-06 16:00:00,Month-to-month,Bank Transfer,31
CUST-00138,2023-01-06 17:00:00,One year,Mailed Check,50
CUST-00139,2023-01-06 18:00:00,Month-to-month,Mailed Check,27
CUST-00140,2023-01-06 19:00:00,Two year,Mailed Check,33
CUST-00141,2023-01-06 20:00:00,Two year,Electronic Check,79
CUST-00142,2023-01-06 21:00:00,Month-to-month,Bank Transfer,21
CUST-00143,2023-01-06 22:00:00,Month-to-month,Mailed Check,44
CUST-00144,2023-01-06 23:00:00,Month-to-month,Mailed Check,45
CUST-00145,2023-01-07 00:00:00,Month-to-month,Credit Card,78
CUST-00146,2023-01-07 01:00:00,Month-to-month,Bank Transfer,60
CUST-00147,2023-01-07 02:00:00,One year,Mailed Check,33
CUST-00148,2023-01-07 03:00:00,Month-to-month,Credit Card,76
CUST-00149,2023-01-07 04:00:00,Month-to-month,Credit Card,69
CUST-00150,2023-01-07 05:00:00,Month-to-month,Electronic Check,50
CUST-00151,2023-01-07 06:00:00,Two year,Credit Card,65
CUST-00152,2023-01-07 07:00:00,Month-to-month,Mailed Check,36
CUST-00153,2023-01-07 08:00:00,Month-to-month,Electronic Check,38
CUST-00154,2023-01-07 09:00:00,Month-to-month,Electronic Check,39
CUST-00155,2023-01-07 10:00:00,Two year,Mailed Check,26
CUST-00156,2023-01-07 11:00:00,Month-to-month,Bank Transfer,26
CUST-00157,2023-01-07 12:00:00,One year,Credit Card,26
CUST-00158,2023-01-07 13:00:00,One year,Electronic Check,44
CUST-00159,2023-01-07 14:00:00,Month-to-month,Bank Transfer,34
CUST-00160,2023-01-07 15:00:00,One year,Mailed Check,61
CUST-00161,2023-01-07 16:00:00,Month-to-month,Credit Card,74
CUST-00162,2023-01-07 17:00:00,One year,Credit Card,62
CUST-00163,2023-01-07 18:00:00,One year,Electronic Check,25
CUST-00164,2023-01-07 19:00:00,Month-to-month,Credit Card,33
CUST-00165,2023-01-07 20:00:00,Month-to-month,Credit Card,35
CUST-00166,2023-01-07 21:00:00,Two year,Credit Card,78
CUST-00167,2023-01-07 22:00:00,Month-to-month,Credit Card,76
CUST-00168,2023-01-07 23:00:00,Month-to-month,Mailed Check,50
CUST-00169,2023-01-08 00:00:00,Month-to-month,Bank Transfer,18
CUST-00170,2023-01-08 01:00:00,Month-to-month,Mailed Check,29
CUST-00171,2023-01-08 02:00:00,One year,Mailed Check,23
CUST-00172,2023-01-08 03:00:00,Month-to-month,Electronic Check,58
CUST-00173,2023-01-08 04:00:00,Month-to-month,Credit Card,72
CUST-00174,2023-01-08 05:00:00,Month-to-month,Mailed Check,22
CUST-00175,2023-01-08 06:00:00,One year,Credit Card,76
CUST-00176,2023-01-08 07:00:00,Month-to-month,Mailed Check,33
CUST-00177,2023-01-08 08:00:00,One year,Mailed Check,35
CUST-00178,2023-01-08 09:00:00,Month-to-month,Electronic Check,66
CUST-00179,2023-01-08 10:00:00,Two year,Bank Transfer,35
CUST-00180,2023-01-08 11:00:00,Month-to-month,Bank Transfer,18
CUST-00181,2023-01-08 12:00:00,Month-to-month,Mailed Check,36
CUST-00182,2023-01-08 13:00:00,Month-to-month,Electronic Check,71
CUST-00183,2023-01-08 14:00:00,Two year,Credit Card,78
CUST-00184,2023-01-08 15:00:00,Two year,Credit Card,25
CUST-00185,2023-01-08 16:00:00,Month-to-month,Mailed Check,20
CUST-00186,2023-01-08 17:00:00,One year,Bank Transfer,75
CUST-00187,2023-01-08 18:00:00,Two year,,42
CUST-00188,2023-01-08 19:00:00,Month-to-month,Bank Transfer,75
CUST-00189,2023-01-08 20:00:00,Month-to-month,Credit Card,22
CUST-00190,2023-01-08 21:00:00,Month-to-month,Bank Transfer,72
CUST-00191,2023-01-08 22:00:00,Month-to-month,Credit Card,57
CUST-00192,2023-01-08 23:00:00,Two year,Electronic Check,36
CUST-00193,2023-01-09 00:00:00,Two year,Electronic Check,35
CUST-00194,2023-01-09 01:00:00,One year,Mailed Check,67
CUST-00195,2023-01-09 02:00:00,Month-to-month,Mailed Check,70
CUST-00196,2023-01-09 03:00:00,Month-to-month,,48
CUST-00197,2023-01-09 04:00:00,One year,Electronic Check,50
CUST-00198,2023-01-09 05:00:00,Two year,Electronic Check,64
CUST-00199,2023-01-09 06:00:00,Two year,Mailed Check,35
CUST-00200,2023-01-09 07:00:00,One year,Credit Card,78
CUST-00201,2023-01-09 08:00:00,One year,Bank Transfer,74
CUST-00202,2023-01-09 09:00:00,Month-to-month,Bank Transfer,56
CUST-00203,2023-01-09 10:00:00,Month-to-month,Mailed Check,33
CUST-00204,2023-01-09 11:00:00,Two year,Electronic Check,33
CUST-00205,2023-01-09 12:00:00,One year,Mailed Check,64
CUST-00206,2023-01-09 13:00:00,Month-to-month,Mailed Check,55
CUST-00207,2023-01-09 14:00:00,Month-to-month,Mailed Check,58
CUST-00208,2023-01-09 15:00:00,One year,Mailed Check,24
CUST-00209,2023-01-09 16:00:00,Month-to-month,Credit Card,31
CUST-00210,2023-01-09 17:00:00,Month-to-month,Credit Card,60
CUST-00211,2023-01-09 18:00:00,Month-to-month,Electronic Check,70
CUST-00212,2023-01-09 19:00:00,One year,Mailed Check,65
CUST-00213,2023-01-09 20:00:00,One year,Credit Card,42
CUST-00214,2023-01-09 21:00:00,Month-to-month,Electronic Check,49
CUST-00215,2023-01-09 22:00:00,One year,Mailed Check,55
CUST-00216,2023-01-09 23:00:00,Month-to-month,Bank Transfer,39
CUST-00217,2023-01-10 00:00:00,Month-to-month,Credit Card,76
CUST-00218,2023-01-10 01:00:00,One year,Electronic Check,33
CUST-00219,2023-01-10 02:00:00,One year,Bank Transfer,69
CUST-00220,2023-01-10 03:00:00,Two year,Mailed Check,46
CUST-00221,2023-01-10 04:00:00,One year,Mailed Check,33
CUST-00222,2023-01-10 05:00:00,Month-to-month,Mailed Check,29
CUST-00223,2023-01-10 06:00:00,Month-to-month,Credit Card,34
CUST-00224,2023-01-10 07:00:00,Month-to-month,Electronic Check,54
CUST-00225,2023-01-10 08:00:00,Month-to-month,Bank Transfer,44
CUST-00226,2023-01-10 09:00:00,Month-to-month,Electronic Check,42
CUST-00227,2023-01-10 10:00:00,Two year,Credit Card,30
CUST-00228,2023-01-10 11:00:00,Month-to-month,Electronic Check,25
CUST-00229,2023-01-10 12:00:00,Two year,Credit Card,73
CUST-00230,2023-01-10 13:00:00,One year,Mailed Check,22
CUST-00231,2023-01-10 14:00:00,One year,Bank Transfer,29
CUST-00232,2023-01-10 15:00:00,Month-to-month,Mailed Check,58
CUST-00233,2023-01-10 16:00:00,Month-to-month,Electronic Check,20
CUST-00234,2023-01-10 17:00:00,Month-to-month,Mailed Check,52
CUST-00235,2023-01-10 18:00:00,Month-to-month,Bank Transfer,50
CUST-00236,2023-01-10 19:00:00,One year,Mailed Check,74
CUST-00237,2023-01-10 20:00:00,Month-to-month,Bank Transfer,39
CUST-00238,2023-01-10 21:00:00,Month-to-month,Bank Transfer,67
CUST-00239,2023-01-10 22:00:00,One year,Mailed Check,73
CUST-00240,2023-01-10 23:00:00,Month-to-month,Credit Card,61
CUST-00241,2023-01-11 00:00:00,Two year,Electronic Check,26
CUST-00242,2023-01-11 01:00:00,Two year,Credit Card,58
CUST-00243,2023-01-11 02:00:00,Two year,Credit Card,35
CUST-00244,2023-01-11 03:00:00,Month-to-month,Mailed Check,67
CUST-00245,2023-01-11 04:00:00,Month-to-month,Electronic Check,46
CUST-00246,2023-01-11 05:00:00,Two year,Electronic Check,56
CUST-00247,2023-01-11 06:00:00,Month-to-month,Credit Card,44
CUST-00248,2023-01-11 07:00:00,Two year,Mailed Check,53
CUST-00249,2023-01-11 08:00:00,Two year,Electronic Check,62
CUST-00250,2023-01-11 09:00:00,Two year,Credit Card,34
CUST-00251,2023-01-11 10:00:00,Month-to-month,Electronic Check,73
CUST-00252,2023-01-11 11:00:00,Month-to-month,,51
CUST-00253,2023-01-11 12:00:00,Two year,Mailed Check,63
CUST-00254,2023-01-11 13:00:00,Month-to-month,Mailed Check,20
CUST-00255,2023-01-11 14:00:00,Month-to-month,Electronic Check,22
CUST-00256,2023-01-11 15:00:00,Month-to-month,Bank Transfer,31
CUST-00257,2023-01-11 16:00:00,Two year,Electronic Check,20
CUST-00258,2023-01-11 17:00:00,One year,Bank Transfer,40
CUST-00259,2023-01-11 18:00:00,Month-to-month,Mailed Check,56
CUST-00260,2023-01-11 19:00:00,Month-to-month,Credit Card,47
CUST-00261,2023-01-11 20:00:00,One year,Bank Transfer,67
CUST-00262,2023-01-11 21:00:00,Two year,Mailed Check,62
CUST-00263,2023-01-11 22:00:00,Month-to-month,,78
CUST-00264,2023-01-11 23:00:00,Month-to-month,Bank Transfer,40
CUST-00265,2023-01-12 00:00:00,Two year,Credit Card,44
CUST-00266,2023-01-12 01:00:00,One year,Mailed Check,71
CUST-00267,2023-01-12 02:00:00,One year,Bank Transfer,27
CUST-00268,2023-01-12 03:00:00,One year,Credit Card,42
CUST-00269,2023-01-12 04:00:00,Month-to-month,Credit Card,30
CUST-00270,2023-01-12 05:00:00,Month-to-month,Mailed Check,33
CUST-00271,2023-01-12 06:00:00,Two year,Electronic Check,58
CUST-00272,2023-01-12 07:00:00,Two year,Electronic Check,51
CUST-00273,2023-01-12 08:00:00,Two year,Mailed Check,72
CUST-00274,2023-01-12 09:00:00,Two year,Credit Card,54
CUST-00275,2023-01-12 10:00:00,Month-to-month,Mailed Check,78
CUST-00276,2023-01-12 11:00:00,Month-to-month,Bank Transfer,39
CUST-00277,2023-01-12 12:00:00,One year,Electronic Check,34
CUST-00278,2023-01-12 13:00:00,One year,Bank Transfer,40
CUST-00279,2023-01-12 14:00:00,One year,Mailed Check,71
CUST-00280,2023-01-12 15:00:00,One year,Mailed Check,53
CUST-00281,2023-01-12 16:00:00,Two year,Credit Card,66
CUST-00282,2023-01-12 17:00:00,Month-to-month,Credit Card,26
CUST-00283,2023-01-12 18:00:00,Month-to-month,Credit Card,69
CUST-00284,2023-01-12 19:00:00,Month-to-month,,19
CUST-00285,2023-01-12 20:00:00,Month-to-month,Credit Card,49
CUST-00286,2023-01-12 21:00:00,Month-to-month,Mailed Check,73
CUST-00287,2023-01-12 22:00:00,Month-to-month,Credit Card,67
CUST-00288,2023-01-12 23:00:00,Month-to-month,Electronic Check,70
CUST-00289,2023-01-13 00:00:00,Month-to-month,,76
CUST-00290,2023-01-13 01:00:00,Month-to-month,Bank Transfer,39
CUST-00291,2023-01-13 02:00:00,Month-to-month,Electronic Check,60
CUST-00292,2023-01-13 03:00:00,Month-to-month,Electronic Check,30
CUST-00293,2023-01-13 04:00:00,Two year,Electronic Check,25
CUST-00294,2023-01-13 05:00:00,Month-to-month,Bank Transfer,76
CUST-00295,2023-01-13 06:00:00,Month-to-month,Mailed Check,18
CUST-00296,2023-01-13 07:00:00,Month-to-month,,34
CUST-00297,2023-01-13 08:00:00,One year,Electronic Check,29
CUST-00298,2023-01-13 09:00:00,Month-to-month,Electronic Check,21
CUST-00299,2023-01-13 10:00:00,One year,Electronic Check,70
CUST-00300,2023-01-13 11:00:00,Month-to-month,Mailed Check,30
CUST-00301,2023-01-13 12:00:00,Month-to-month,Mailed Check,48
CUST-00302,2023-01-13 13:00:00,Month-to-month,Bank Transfer,78
CUST-00303,2023-01-13 14:00:00,Month-to-month,Mailed Check,58
CUST-00304,2023-01-13 15:00:00,One year,Credit Card,76
CUST-00305,2023-01-13 16:00:00,One year,Bank Transfer,79
CUST-00306,2023-01-13 17:00:00,Two year,Bank Transfer,24
CUST-00307,2023-01-13 18:00:00,Month-to-month,Credit Card,40
CUST-00308,2023-01-13 19:00:00,Month-to-month,Credit Card,41
CUST-00309,2023-01-13 20:00:00,One year,Credit Card,22
CUST-00310,2023-01-13 21:00:00,Month-to-month,Bank Transfer,22
CUST-00311,2023-01-13 22:00:00,Month-to-month,Bank Transfer,34
CUST-00312,2023-01-13 23:00:00,Month-to-month,Bank Transfer,47
CUST-00313,2023-01-14 00:00:00,Month-to-month,Credit Card,26
CUST-00314,2023-01-14 01:00:00,Two year,Credit Card,23
CUST-00315,2023-01-14 02:00:00,Two year,Electronic Check,42
CUST-00316,2023-01-14 03:00:00,One year,,36
CUST-00317,2023-01-14 04:00:00,Month-to-month,Electronic Check,33
CUST-00318,2023-01-14 05:00:00,Month-to-month,Credit Card,38
CUST-00319,2023-01-14 06:00:00,Month-to-month,Bank Transfer,19
CUST-00320,2023-01-14 07:00:00,Month-to-month,Credit Card,27
CUST-00321,2023-01-14 08:00:00,Month-to-month,Mailed Check,33
CUST-00322,2023-01-14 09:00:00,One year,Electronic Check,54
CUST-00323,2023-01-14 10:00:00,One year,,32
CUST-00324,2023-01-14 11:00:00,Month-to-month,Bank Transfer,30
CUST-00325,2023-01-14 12:00:00,Two year,Electronic Check,30
CUST-00326,2023-01-14 13:00:00,One year,Electronic Check,49
CUST-00327,2023-01-14 14:00:00,Month-to-month,,62
CUST-00328,2023-01-14 15:00:00,One year,Electronic Check,64
CUST-00329,2023-01-14 16:00:00,Month-to-month,Electronic Check,63
CUST-00330,2023-01-14 17:00:00,Month-to-month,Electronic Check,25
CUST-00331,2023-01-14 18:00:00,Month-to-month,Bank Transfer,60
CUST-00332,2023-01-14 19:00:00,One year,Bank Transfer,35
CUST-00333,2023-01-14 20:00:00,Month-to-month,Credit Card,73
CUST-00334,2023-01-14 21:00:00,Month-to-month,Electronic Check,53
CUST-00335,2023-01-14 22:00:00,Month-to-month,Bank Transfer,43
CUST-00336,2023-01-14 23:00:00,Month-to-month,Bank Transfer,27
CUST-00337,2023-01-15 00:00:00,Two year,Credit Card,48
CUST-00338,2023-01-15 01:00:00,One year,,50
CUST-00339,2023-01-15 02:00:00,Month-to-month,Electronic Check,46
CUST-00340,2023-01-15 03:00:00,Month-to-month,Bank Transfer,22
CUST-00341,2023-01-15 04:00:00,Month-to-month,Credit Card,30
CUST-00342,2023-01-15 05:00:00,Month-to-month,Credit Card,18
CUST-00343,2023-01-15 06:00:00,Month-to-month,,40
CUST-00344,2023-01-15 07:00:00,Month-to-month,Bank Transfer,57
CUST-00345,2023-01-15 08:00:00,Month-to-month,,20
CUST-00346,2023-01-15 09:00:00,One year,Mailed Check,20
CUST-00347,2023-01-15 10:00:00,One year,,24
CUST-00348,2023-01-15 11:00:00,Month-to-month,Credit Card,53
CUST-00349,2023-01-15 12:00:00,Month-to-month,Credit Card,52
CUST-00350,2023-01-15 13:00:00,One year,Mailed Check,32
CUST-00351,2023-01-15 14:00:00,Month-to-month,Electronic Check,57
CUST-00352,2023-01-15 15:00:00,Two year,,20
CUST-00353,2023-01-15 16:00:00,One year,Credit Card,46
CUST-00354,2023-01-15 17:00:00,Month-to-month,Electronic Check,47
CUST-00355,2023-01-15 18:00:00,Month-to-month,Credit Card,56
CUST-00356,2023-01-15 19:00:00,One year,Electronic Check,35
CUST-00357,2023-01-15 20:00:00,Month-to-month,Credit Card,28
CUST-00358,2023-01-15 21:00:00,Month-to-month,Electronic Check,60
CUST-00359,2023-01-15 22:00:00,Two year,Mailed Check,66
CUST-00360,2023-01-15 23:00:00,Month-to-month,Credit Card,77
CUST-00361,2023-01-16 00:00:00,Month-to-month,Mailed Check,55
CUST-00362,2023-01-16 01:00:00,One year,Credit Card,57
CUST-00363,2023-01-16 02:00:00,Month-to-month,Credit Card,18
CUST-00364,2023-01-16 03:00:00,Month-to-month,Bank Transfer,46
CUST-00365,2023-01-16 04:00:00,Two year,Electronic Check,27
CUST-00366,2023-01-16 05:00:00,Month-to-month,Mailed Check,45
CUST-00367,2023-01-16 06:00:00,Two year,Mailed Check,74
CUST-00368,2023-01-16 07:00:00,Two year,Mailed Check,48
CUST-00369,2023-01-16 08:00:00,Month-to-month,Electronic Check,36
CUST-00370,2023-01-16 09:00:00,Month-to-month,Bank Transfer,20
CUST-00371,2023-01-16 10:00:00,Month-to-month,Mailed Check,53
CUST-00372,2023-01-16 11:00:00,Month-to-month,Electronic Check,60
CUST-00373,2023-01-16 12:00:00,Month-to-month,Credit Card,32
CUST-00374,2023-01-16 13:00:00,One year,Mailed Check,50
CUST-00375,2023-01-16 14:00:00,Month-to-month,Mailed Check,58
CUST-00376,2023-01-16 15:00:00,Month-to-month,Bank Transfer,60
CUST-00377,2023-01-16 16:00:00,Two year,Mailed Check,68
CUST-00378,2023-01-16 17:00:00,Month-to-month,Mailed Check,62
CUST-00379,2023-01-16 18:00:00,Two year,Credit Card,43
CUST-00380,2023-01-16 19:00:00,Month-to-month,Electronic Check,33
CUST-00381,2023-01-16 20:00:00,Month-to-month,Electronic Check,53
CUST-00382,2023-01-16 21:00:00,One year,Bank Transfer,50
CUST-00383,2023-01-16 22:00:00,One year,Credit Card,37
CUST-00384,2023-01-16 23:00:00,Two year,Electronic Check,30
CUST-00385,2023-01-17 00:00:00,One year,,50
CUST-00386,2023-01-17 01:00:00,Two year,Electronic Check,22
CUST-00387,2023-01-17 02:00:00,Month-to-month,Credit Card,54
CUST-00388,2023-01-17 03:00:00,Month-to-month,Bank Transfer,31
CUST-00389,2023-01-17 04:00:00,One year,Mailed Check,44
CUST-00390,2023-01-17 05:00:00,Two year,Bank Transfer,40
CUST-00391,2023-01-17 06:00:00,Two year,Electronic Check,31
CUST-00392,2023-01-17 07:00:00,Month-to-month,Bank Transfer,57
CUST-00393,2023-01-17 08:00:00,Month-to-month,Mailed Check,21
CUST-00394,2023-01-17 09:00:00,One year,Bank Transfer,56
CUST-00395,2023-01-17 10:00:00,Month-to-month,Electronic Check,69
CUST-00396,2023-01-17 11:00:00,Two year,Electronic Check,36
CUST-00397,2023-01-17 12:00:00,Two year,Bank Transfer,64
CUST-00398,2023-01-17 13:00:00,Month-to-month,Mailed Check,71
CUST-00399,2023-01-17 14:00:00,One year,Bank Transfer,21
CUST-00400,2023-01-17 15:00:00,One year,,47
CUST-00401,2023-01-17 16:00:00,Month-to-month,Credit Card,36
CUST-00402,2023-01-17 17:00:00,Two year,Mailed Check,48
CUST-00403,2023-01-17 18:00:00,Month-to-month,Credit Card,48
CUST-00404,2023-01-17 19:00:00,Two year,Bank Transfer,26
CUST-00405,2023-01-17 20:00:00,Month-to-month,Mailed Check,70
CUST-00406,2023-01-17 21:00:00,Two year,Credit Card,30
CUST-00407,2023-01-17 22:00:00,Month-to-month,Credit Card,31
CUST-00408,2023-01-17 23:00:00,Month-to-month,Credit Card,72
