CustomerID,SignupDate,ContractType,PaymentMethod,Age,MonthlyCharges,TotalCharges,SupportTickets,EngagementScore,LeftCompany,TenureMonths,ContractType_Num,PaymentMethod_Num,ChurnRiskScore_%
CUST-00031,2023-01-02 06:00:00,One year,Electronic Check,69,100.67,4328.81,3,7,0,43.0,1,2,5.0
CUST-00032,2023-01-02 07:00:00,Month-to-month,Mailed Check,59,79.45,3416.35,0,2,0,43.0,0,3,10.0
CUST-00033,2023-01-02 08:00:00,Month-to-month,Electronic Check,29,91.2,3921.6,2,1,0,43.0,0,2,7.0
CUST-00034,2023-01-02 09:00:00,Two year,Credit Card,18,114.45,4921.35,1,4,0,43.0,2,1,32.0
CUST-00035,2023-01-02 10:00:00,Two year,Electronic Check,59,87.45,3760.35,1,2,0,43.0,2,2,4.0
CUST-00036,2023-01-02 11:00:00,Two year,Electronic Check,26,62.77,2699.11,0,3,1,43.0,2,2,71.0
CUST-00037,2023-01-02 12:00:00,Month-to-month,Bank Transfer,20,70.45,3029.35,0,2,0,43.0,0,0,11.0
CUST-00038,2023-01-02 13:00:00,Month-to-month,Mailed Check,77,107.45,4620.35,1,9,0,43.0,0,3,15.0
CUST-00039,2023-01-02 14:00:00,One year,Credit Card,68,41.76,1795.6799999999998,1,4,0,43.0,1,1,4.0
CUST-00040,2023-01-02 15:00:00,Month-to-month,Unknown,43,59.31,2550.33,0,1,0,43.0,0,4,11.0
CUST-00041,2023-01-02 16:00:00,Month-to-month,Credit Card,26,81.95,3523.85,0,8,1,43.0,0,1,68.0
CUST-00042,2023-01-02 17:00:00,Month-to-month,Electronic Check,59,90.87,3907.41,3,4,0,43.0,0,2,12.0
CUST-00043,2023-01-02 18:00:00,Month-to-month,Unknown,68,98.71,4244.53,0,10,0,43.0,0,4,13.0
CUST-00044,2023-01-02 19:00:00,Two year,Bank Transfer,33,58.63,2521.09,0,8,0,43.0,2,0,24.0
CUST-00045,2023-01-02 20:00:00,Month-to-month,Mailed Check,41,43.12,1854.16,3,8,0,43.0,0,3,10.0
CUST-00046,2023-01-02 21:00:00,One year,Bank Transfer,67,115.94,4985.42,1,9,0,43.0,1,0,20.0
CUST-00047,2023-01-02 22:00:00,Month-to-month,Mailed Check,31,36.87,1585.41,0,10,0,43.0,0,3,1.0
CUST-00048,2023-01-02 23:00:00,Month-to-month,Mailed Check,78,38.61,1660.23,2,7,0,43.0,0,3,20.0
CUST-00049,2023-01-03 00:00:00,Month-to-month,Credit Card,20,74.54,3205.2200000000003,3,4,0,43.0,0,1,7.0
CUST-00050,2023-01-03 01:00:00,Month-to-month,Mailed Check,51,103.73,4460.39,2,2,0,43.0,0,3,4.0
CUST-00051,2023-01-03 02:00:00,Two year,Credit Card,50,99.7,4287.1,1,6,0,43.0,2,1,4.0
CUST-00052,2023-01-03 03:00:00,One year,Bank Transfer,67,114.39,4918.77,1,4,0,43.0,1,0,21.0
CUST-00053,2023-01-03 04:00:00,Two year,Mailed Check,41,42.74,1837.82,2,6,0,43.0,2,3,6.0
CUST-00054,2023-01-03 05:00:00,Two year,Mailed Check,26,63.81,2743.83,1,8,0,43.0,2,3,9.0
CUST-00055,2023-01-03 06:00:00,Month-to-month,Electronic Check,30,55.39,2381.77,1,3,1,43.0,0,2,68.0
CUST-00056,2023-01-03 07:00:00,Two year,Mailed Check,19,107.48,4621.64,0,1,0,43.0,2,3,8.0
CUST-00057,2023-01-03 08:00:00,Month-to-month,Mailed Check,24,73.95,3179.85,1,5,0,43.0,0,3,1.0
CUST-00058,2023-01-03 09:00:00,Month-to-month,Unknown,65,32.41,1393.63,0,3,0,43.0,0,4,5.0
CUST-00059,2023-01-03 10:00:00,Month-to-month,Electronic Check,38,93.71,4029.53,0,6,0,43.0,0,2,15.0
CUST-00060,2023-01-03 11:00:00,Month-to-month,Bank Transfer,36,64.98,2794.1400000000003,1,3,0,43.0,0,0,12.0
CUST-00061,2023-01-03 12:00:00,Month-to-month,Mailed Check,42,77.8,3345.4,3,1,0,43.0,0,3,8.0
CUST-00062,2023-01-03 13:00:00,Month-to-month,Bank Transfer,64,110.44,4748.92,1,9,0,43.0,0,0,28.0
CUST-00063,2023-01-03 14:00:00,Two year,Bank Transfer,39,53.1,2283.3,1,5,0,43.0,2,0,9.0
CUST-00064,2023-01-03 15:00:00,Month-to-month,Electronic Check,28,51.62,2219.66,2,2,0,43.0,0,2,8.0
CUST-00065,2023-01-03 16:00:00,Month-to-month,Credit Card,50,53.68,2308.24,1,2,1,43.0,0,1,68.0
CUST-00066,2023-01-03 17:00:00,Month-to-month,Bank Transfer,49,60.42,2598.06,2,9,1,43.0,0,0,31.0
CUST-00067,2023-01-03 18:00:00,Month-to-month,Credit Card,38,39.65,1704.95,3,1,0,43.0,0,1,8.0
CUST-00068,2023-01-03 19:00:00,Two year,Mailed Check,56,92.75,3988.25,2,10,0,43.0,2,3,4.0
CUST-00069,2023-01-03 20:00:00,Month-to-month,Electronic Check,37,48.66,2092.38,0,3,0,43.0,0,2,30.0
CUST-00070,2023-01-03 21:00:00,Two year,Mailed Check,25,113.35,4874.05,1,10,1,43.0,2,3,37.0
CUST-00071,2023-01-03 22:00:00,One year,Mailed Check,59,49.4,2124.2,0,7,0,43.0,1,3,21.0
CUST-00072,2023-01-03 23:00:00,Month-to-month,Electronic Check,54,53.0,2279.0,2,1,0,43.0,0,2,6.0
CUST-00073,2023-01-04 00:00:00,Month-to-month,Mailed Check,26,56.72,2438.96,0,2,0,43.0,0,3,14.0
CUST-00074,2023-01-04 01:00:00,Two year,Electronic Check,42,99.17,4264.31,3,6,0,43.0,2,2,7.0
CUST-00075,2023-01-04 02:00:00,One year,Credit Card,42,68.48,2944.6400000000003,2,9,1,43.0,1,1,63.0
CUST-00076,2023-01-04 03:00:00,One year,Mailed Check,50,103.74,4460.82,0,9,0,43.0,1,3,8.0
CUST-00077,2023-01-04 04:00:00,One year,Electronic Check,19,100.63,4327.09,1,8,0,43.0,1,2,7.0
CUST-00078,2023-01-04 05:00:00,Month-to-month,Bank Transfer,36,113.65,4886.95,1,3,0,43.0,0,0,3.0
CUST-00079,2023-01-04 06:00:00,Month-to-month,Mailed Check,63,98.09,4217.87,1,2,0,43.0,0,3,10.0
CUST-00080,2023-01-04 07:00:00,Month-to-month,Credit Card,37,34.66,1490.38,0,1,1,43.0,0,1,22.0
CUST-00081,2023-01-04 08:00:00,Two year,Electronic Check,59,105.35,4530.05,3,9,1,43.0,2,2,21.0
CUST-00082,2023-01-04 09:00:00,One year,Mailed Check,58,114.43,4920.490000000001,2,5,0,43.0,1,3,3.0
CUST-00083,2023-01-04 10:00:00,Month-to-month,Mailed Check,59,119.43,5135.490000000001,3,3,0,43.0,0,3,3.0
CUST-00084,2023-01-04 11:00:00,Month-to-month,Mailed Check,46,41.27,1774.61,1,10,0,43.0,0,3,11.0
CUST-00085,2023-01-04 12:00:00,Month-to-month,Credit Card,23,85.19,3663.17,0,10,0,43.0,0,1,29.0
CUST-00086,2023-01-04 13:00:00,Month-to-month,Electronic Check,34,47.94,2061.42,1,5,0,43.0,0,2,9.0
CUST-00087,2023-01-04 14:00:00,One year,Bank Transfer,77,53.62,2305.66,1,3,0,43.0,1,0,15.0
CUST-00088,2023-01-04 15:00:00,One year,Bank Transfer,42,97.1,4175.3,2,9,0,43.0,1,0,10.0
CUST-00089,2023-01-04 16:00:00,Two year,Bank Transfer,55,117.99,5073.57,3,1,0,43.0,2,0,7.0
CUST-00090,2023-01-04 17:00:00,Month-to-month,Electronic Check,21,83.53,3591.79,0,1,0,43.0,0,2,10.0
CUST-00091,2023-01-04 18:00:00,Month-to-month,Bank Transfer,47,106.55,4581.65,1,3,0,43.0,0,0,21.0
CUST-00092,2023-01-04 19:00:00,One year,Credit Card,37,30.79,1323.97,2,6,0,43.0,1,1,4.0
CUST-00093,2023-01-04 20:00:00,One year,Electronic Check,20,33.29,1431.47,2,2,0,43.0,1,2,12.0
CUST-00094,2023-01-04 21:00:00,Month-to-month,Unknown,40,83.7,3599.1,2,1,0,43.0,0,4,20.0
CUST-00095,2023-01-04 22:00:00,One year,Credit Card,68,65.0,2795.0,2,8,0,43.0,1,1,14.0
CUST-00096,2023-01-04 23:00:00,Month-to-month,Mailed Check,35,110.08,4733.44,1,10,1,43.0,0,3,74.0
CUST-00097,2023-01-05 00:00:00,Month-to-month,Bank Transfer,43,57.17,2458.31,2,9,1,43.0,0,0,38.0
CUST-00098,2023-01-05 01:00:00,Month-to-month,Credit Card,73,68.88,2961.84,4,10,0,43.0,0,1,12.0
CUST-00099,2023-01-05 02:00:00,Month-to-month,Electronic Check,53,77.51,3332.9300000000003,1,1,0,43.0,0,2,6.0
CUST-00100,2023-01-05 03:00:00,Month-to-month,Credit Card,25,54.57,2346.51,2,3,0,43.0,0,1,33.0
CUST-00101,2023-01-05 04:00:00,Month-to-month,Mailed Check,34,111.76,4805.68,2,5,0,43.0,0,3,27.0
CUST-00102,2023-01-05 05:00:00,One year,Electronic Check,48,71.8,3087.4,1,7,0,43.0,1,2,5.0
CUST-00103,2023-01-05 06:00:00,Month-to-month,Credit Card,54,68.17,2931.31,0,10,0,43.0,0,1,13.0
CUST-00104,2023-01-05 07:00:00,Month-to-month,Unknown,62,106.48,4578.64,2,4,1,43.0,0,4,68.0
CUST-00105,2023-01-05 08:00:00,Two year,Credit Card,74,58.07,2497.01,0,6,0,43.0,2,1,11.0
CUST-00106,2023-01-05 09:00:00,Month-to-month,Credit Card,50,103.57,4453.509999999999,1,1,0,43.0,0,1,5.0
CUST-00107,2023-01-05 10:00:00,Month-to-month,Electronic Check,44,41.0,1763.0,3,4,1,43.0,0,2,22.0
CUST-00108,2023-01-05 11:00:00,One year,Mailed Check,62,46.44,1996.92,2,8,0,43.0,1,3,9.0
CUST-00109,2023-01-05 12:00:00,Month-to-month,Credit Card,21,115.58,4969.94,1,5,0,43.0,0,1,15.0
CUST-00110,2023-01-05 13:00:00,Month-to-month,Electronic Check,39,105.82,4550.259999999999,4,8,1,43.0,0,2,19.0
CUST-00111,2023-01-05 14:00:00,Month-to-month,Mailed Check,43,64.9,2790.7000000000003,1,1,0,43.0,0,3,10.0
CUST-00112,2023-01-05 15:00:00,Month-to-month,Credit Card,49,87.46,3760.78,1,10,0,43.0,0,1,6.0
CUST-00113,2023-01-05 16:00:00,Two year,Mailed Check,41,114.87,4939.41,3,9,0,43.0,2,3,8.0
CUST-00114,2023-01-05 17:00:00,Two year,Mailed Check,63,49.06,2109.58,1,4,0,43.0,2,3,7.0
CUST-00115,2023-01-05 18:00:00,One year,Electronic Check,52,35.3,1517.9,1,9,0,43.0,1,2,8.0
CUST-00116,2023-01-05 19:00:00,Two year,Unknown,54,78.37,3369.9100000000003,2,8,0,43.0,2,4,6.0
CUST-00117,2023-01-05 20:00:00,Two year,Electronic Check,49,42.83,1841.69,1,8,0,43.0,2,2,10.0
CUST-00118,2023-01-05 21:00:00,Month-to-month,Credit Card,24,46.85,2014.55,1,2,0,43.0,0,1,16.0
CUST-00119,2023-01-05 22:00:00,Two year,Mailed Check,50,110.24,4740.32,0,3,1,43.0,2,3,74.0
CUST-00120,2023-01-05 23:00:00,Month-to-month,Mailed Check,48,30.66,1318.38,6,10,0,43.0,0,3,3.0
CUST-00121,2023-01-06 00:00:00,Two year,Bank Transfer,72,103.51,4450.93,1,9,0,43.0,2,0,13.0
CUST-00122,2023-01-06 01:00:00,Two year,Credit Card,78,76.52,3213.84,1,3,0,42.0,2,1,16.0
CUST-00123,2023-01-06 02:00:00,Month-to-month,Credit Card,29,80.33,3373.86,1,8,1,42.0,0,1,22.0
CUST-00124,2023-01-06 03:00:00,Month-to-month,Bank Transfer,28,90.46,3799.32,2,5,0,42.0,0,0,10.0
CUST-00125,2023-01-06 04:00:00,Month-to-month,Bank Transfer,41,68.82,2890.44,0,7,0,42.0,0,0,6.0
CUST-00126,2023-01-06 05:00:00,Month-to-month,Electronic Check,25,40.4,1696.8,1,4,1,42.0,0,2,76.0
CUST-00127,2023-01-06 06:00:00,Two year,Unknown,49,39.24,1648.0800000000002,2,8,1,42.0,2,4,66.0
CUST-00128,2023-01-06 07:00:00,Two year,Mailed Check,74,97.89,4111.38,1,4,1,42.0,2,3,71.0
CUST-00129,2023-01-06 08:00:00,Month-to-month,Mailed Check,55,49.89,2095.38,2,5,0,42.0,0,3,10.0
CUST-00130,2023-01-06 09:00:00,Month-to-month,Mailed Check,77,32.52,1365.84,0,1,0,42.0,0,3,7.0
CUST-00131,2023-01-06 10:00:00,Month-to-month,Mailed Check,39,118.17,4963.14,2,10,0,42.0,0,3,7.0
CUST-00132,2023-01-06 11:00:00,Month-to-month,Electronic Check,51,118.24,4966.08,0,8,0,42.0,0,2,6.0
CUST-00133,2023-01-06 12:00:00,Month-to-month,Credit Card,36,64.03,2689.26,1,7,0,42.0,0,1,15.0
CUST-00134,2023-01-06 13:00:00,Month-to-month,Mailed Check,69,32.29,1356.18,2,5,0,42.0,0,3,8.0
CUST-00135,2023-01-06 14:00:00,Two year,Credit Card,37,95.45,4008.9,3,6,1,42.0,2,1,14.0
CUST-00136,2023-01-06 15:00:00,Month-to-month,Mailed Check,73,104.79,4401.18,2,1,1,42.0,0,3,16.0
CUST-00137,2023-01-06 16:00:00,Month-to-month,Bank Transfer,31,41.24,1732.0800000000002,2,8,1,42.0,0,0,77.0
CUST-00138,2023-01-06 17:00:00,One year,Mailed Check,50,42.18,1771.56,3,9,0,42.0,1,3,10.0
CUST-00139,2023-01-06 18:00:00,Month-to-month,Mailed Check,27,104.0,4368.0,6,5,0,42.0,0,3,2.0
CUST-00140,2023-01-06 19:00:00,Two year,Mailed Check,33,112.97,4744.74,1,10,0,42.0,2,3,30.0
CUST-00141,2023-01-06 20:00:00,Two year,Electronic Check,79,101.17,4249.14,2,7,0,42.0,2,2,11.0
CUST-00142,2023-01-06 21:00:00,Month-to-month,Bank Transfer,21,48.06,2018.52,2,10,0,42.0,0,0,9.0
CUST-00143,2023-01-06 22:00:00,Month-to-month,Mailed Check,44,67.03,2815.26,1,4,0,42.0,0,3,12.0
CUST-00144,2023-01-06 23:00:00,Month-to-month,Mailed Check,45,84.07,3530.94,0,6,1,42.0,0,3,66.0
CUST-00145,2023-01-07 00:00:00,Month-to-month,Credit Card,78,44.42,1865.64,2,2,1,42.0,0,1,17.0
CUST-00146,2023-01-07 01:00:00,Month-to-month,Bank Transfer,60,48.95,2055.9,3,4,1,42.0,0,0,71.0
CUST-00147,2023-01-07 02:00:00,One year,Mailed Check,33,55.45,2328.9,2,5,0,42.0,1,3,14.0
CUST-00148,2023-01-07 03:00:00,Month-to-month,Credit Card,76,75.85,3185.7,1,9,0,42.0,0,1,17.0
CUST-00149,2023-01-07 04:00:00,Month-to-month,Credit Card,69,75.97,3190.74,2,9,1,42.0,0,1,73.0
CUST-00150,2023-01-07 05:00:00,Month-to-month,Electronic Check,50,103.28,4337.76,3,8,0,42.0,0,2,10.0
CUST-00151,2023-01-07 06:00:00,Two year,Credit Card,65,97.77,4106.34,0,4,1,42.0,2,1,19.0
CUST-00152,2023-01-07 07:00:00,Month-to-month,Mailed Check,36,112.24,4714.08,2,6,1,42.0,0,3,28.0
CUST-00153,2023-01-07 08:00:00,Month-to-month,Electronic Check,38,104.96,4408.32,4,7,0,42.0,0,2,10.0
CUST-00154,2023-01-07 09:00:00,Month-to-month,Electronic Check,39,52.84,2219.28,0,1,1,42.0,0,2,66.0
CUST-00155,2023-01-07 10:00:00,Two year,Mailed Check,26,59.81,2512.02,0,1,0,42.0,2,3,7.0
CUST-00156,2023-01-07 11:00:00,Month-to-month,Bank Transfer,26,75.03,3151.26,1,4,0,42.0,0,0,5.0
CUST-00157,2023-01-07 12:00:00,One year,Credit Card,26,31.27,1313.34,1,3,0,42.0,1,1,6.0
CUST-00158,2023-01-07 13:00:00,One year,Electronic Check,44,111.35,4676.7,1,10,0,42.0,1,2,25.0
CUST-00159,2023-01-07 14:00:00,Month-to-month,Bank Transfer,34,33.98,1427.16,2,4,0,42.0,0,0,6.0
CUST-00160,2023-01-07 15:00:00,One year,Mailed Check,61,59.01,2478.42,3,9,0,42.0,1,3,3.0
CUST-00161,2023-01-07 16:00:00,Month-to-month,Credit Card,74,81.22,3411.24,2,2,0,42.0,0,1,5.0
CUST-00162,2023-01-07 17:00:00,One year,Credit Card,62,76.6,3217.2,1,4,1,42.0,1,1,71.0
CUST-00163,2023-01-07 18:00:00,One year,Electronic Check,25,88.9,3733.8,4,7,0,42.0,1,2,6.0
CUST-00164,2023-01-07 19:00:00,Month-to-month,Credit Card,33,77.47,3253.74,2,2,0,42.0,0,1,6.0
CUST-00165,2023-01-07 20:00:00,Month-to-month,Credit Card,35,50.6,2125.2000000000003,1,8,0,42.0,0,1,6.0
CUST-00166,2023-01-07 21:00:00,Two year,Credit Card,78,48.09,2019.78,0,10,1,42.0,2,1,74.0
CUST-00167,2023-01-07 22:00:00,Month-to-month,Credit Card,76,111.65,4689.3,6,4,0,42.0,0,1,10.0
CUST-00168,2023-01-07 23:00:00,Month-to-month,Mailed Check,50,53.75,2257.5,1,9,1,42.0,0,3,72.0
CUST-00169,2023-01-08 00:00:00,Month-to-month,Bank Transfer,18,55.28,2321.76,1,1,0,42.0,0,0,48.0
CUST-00170,2023-01-08 01:00:00,Month-to-month,Mailed Check,29,67.16,2820.72,3,7,0,42.0,0,3,2.0
CUST-00171,2023-01-08 02:00:00,One year,Mailed Check,23,42.54,1786.68,2,1,0,42.0,1,3,13.0
CUST-00172,2023-01-08 03:00:00,Month-to-month,Electronic Check,58,75.65,3177.3,1,10,0,42.0,0,2,10.0
CUST-00173,2023-01-08 04:00:00,Month-to-month,Credit Card,72,89.85,3773.7,2,9,0,42.0,0,1,16.0
CUST-00174,2023-01-08 05:00:00,Month-to-month,Mailed Check,22,100.74,4231.08,0,10,0,42.0,0,3,13.0
CUST-00175,2023-01-08 06:00:00,One year,Credit Card,76,94.03,3949.26,4,10,0,42.0,1,1,11.0
CUST-00176,2023-01-08 07:00:00,Month-to-month,Mailed Check,33,43.28,1817.76,2,1,0,42.0,0,3,21.0
CUST-00177,2023-01-08 08:00:00,One year,Mailed Check,35,71.04,2983.6800000000003,3,3,0,42.0,1,3,5.0
CUST-00178,2023-01-08 09:00:00,Month-to-month,Electronic Check,66,33.46,1405.32,1,7,1,42.0,0,2,17.0
CUST-00179,2023-01-08 10:00:00,Two year,Bank Transfer,35,31.59,1326.78,0,1,0,42.0,2,0,12.0
CUST-00180,2023-01-08 11:00:00,Month-to-month,Bank Transfer,18,69.61,2923.62,1,5,0,42.0,0,0,36.0
CUST-00181,2023-01-08 12:00:00,Month-to-month,Mailed Check,36,52.76,2215.92,1,6,0,42.0,0,3,13.0
CUST-00182,2023-01-08 13:00:00,Month-to-month,Electronic Check,71,91.5,3843.0,1,3,0,42.0,0,2,13.0
CUST-00183,2023-01-08 14:00:00,Two year,Credit Card,78,95.18,3997.56,1,6,1,42.0,2,1,70.0
CUST-00184,2023-01-08 15:00:00,Two year,Credit Card,25,110.59,4644.78,2,4,0,42.0,2,1,3.0
CUST-00185,2023-01-08 16:00:00,Month-to-month,Mailed Check,20,98.46,4135.32,2,6,0,42.0,0,3,12.0
CUST-00186,2023-01-08 17:00:00,One year,Bank Transfer,75,34.33,1441.86,3,6,0,42.0,1,0,6.0
CUST-00187,2023-01-08 18:00:00,Two year,Unknown,42,63.44,2664.48,1,4,0,42.0,2,4,7.0
CUST-00188,2023-01-08 19:00:00,Month-to-month,Bank Transfer,75,54.56,2291.52,2,1,0,42.0,0,0,9.0
CUST-00189,2023-01-08 20:00:00,Month-to-month,Credit Card,22,64.75,2719.5,2,3,0,42.0,0,1,7.0
CUST-00190,2023-01-08 21:00:00,Month-to-month,Bank Transfer,72,44.4,1864.8,1,10,0,42.0,0,0,7.0
CUST-00191,2023-01-08 22:00:00,Month-to-month,Credit Card,57,38.78,1628.76,2,7,0,42.0,0,1,7.0
CUST-00192,2023-01-08 23:00:00,Two year,Electronic Check,36,76.88,3228.96,3,2,1,42.0,2,2,18.0
CUST-00193,2023-01-09 00:00:00,Two year,Electronic Check,35,94.83,3982.86,1,4,0,42.0,2,2,14.0
CUST-00194,2023-01-09 01:00:00,One year,Mailed Check,67,93.17,3913.14,0,6,0,42.0,1,3,9.0
CUST-00195,2023-01-09 02:00:00,Month-to-month,Mailed Check,70,70.58,2964.36,3,5,0,42.0,0,3,8.0
CUST-00196,2023-01-09 03:00:00,Month-to-month,Unknown,48,77.0,3234.0,0,6,0,42.0,0,4,33.0
CUST-00197,2023-01-09 04:00:00,One year,Electronic Check,50,76.46,3211.32,3,5,0,42.0,1,2,14.0
CUST-00198,2023-01-09 05:00:00,Two year,Electronic Check,64,92.24,3874.08,1,9,0,42.0,2,2,0.0
CUST-00199,2023-01-09 06:00:00,Two year,Mailed Check,35,34.3,1440.6,2,2,0,42.0,2,3,9.0
CUST-00200,2023-01-09 07:00:00,One year,Credit Card,78,93.89,3943.38,3,4,0,42.0,1,1,33.0
CUST-00201,2023-01-09 08:00:00,One year,Bank Transfer,74,82.39,3460.38,1,1,0,42.0,1,0,11.0
CUST-00202,2023-01-09 09:00:00,Month-to-month,Bank Transfer,56,47.82,2008.44,2,7,0,42.0,0,0,7.0
CUST-00203,2023-01-09 10:00:00,Month-to-month,Mailed Check,33,34.41,1445.2199999999998,0,1,0,42.0,0,3,12.0
CUST-00204,2023-01-09 11:00:00,Two year,Electronic Check,33,39.76,1669.9199999999998,3,6,0,42.0,2,2,17.0
CUST-00205,2023-01-09 12:00:00,One year,Mailed Check,64,77.22,3243.24,1,10,0,42.0,1,3,11.0
CUST-00206,2023-01-09 13:00:00,Month-to-month,Mailed Check,55,98.25,4126.5,6,10,0,42.0,0,3,12.0
CUST-00207,2023-01-09 14:00:00,Month-to-month,Mailed Check,58,60.11,2524.62,4,9,0,42.0,0,3,2.0
CUST-00208,2023-01-09 15:00:00,One year,Mailed Check,24,64.11,2692.62,1,2,0,42.0,1,3,13.0
CUST-00209,2023-01-09 16:00:00,Month-to-month,Credit Card,31,114.07,4790.94,1,1,0,42.0,0,1,14.0
CUST-00210,2023-01-09 17:00:00,Month-to-month,Credit Card,60,49.16,2064.72,4,10,1,42.0,0,1,66.0
CUST-00211,2023-01-09 18:00:00,Month-to-month,Electronic Check,70,39.33,1651.86,1,3,0,42.0,0,2,19.0
CUST-00212,2023-01-09 19:00:00,One year,Mailed Check,65,60.9,2557.8,1,6,0,42.0,1,3,4.0
CUST-00213,2023-01-09 20:00:00,One year,Credit Card,42,97.13,4079.46,0,7,0,42.0,1,1,7.0
CUST-00214,2023-01-09 21:00:00,Month-to-month,Electronic Check,49,86.34,3626.28,3,8,1,42.0,0,2,68.0
CUST-00215,2023-01-09 22:00:00,One year,Mailed Check,55,67.42,2831.64,0,4,0,42.0,1,3,16.0
CUST-00216,2023-01-09 23:00:00,Month-to-month,Bank Transfer,39,116.83,4906.86,3,8,0,42.0,0,0,6.0
CUST-00217,2023-01-10 00:00:00,Month-to-month,Credit Card,76,96.15,4038.3,2,7,1,42.0,0,1,74.0
CUST-00218,2023-01-10 01:00:00,One year,Electronic Check,33,35.56,1493.52,1,8,1,42.0,1,2,70.0
CUST-00219,2023-01-10 02:00:00,One year,Bank Transfer,69,97.01,4074.42,0,5,1,42.0,1,0,18.0
CUST-00220,2023-01-10 03:00:00,Two year,Mailed Check,46,32.15,1350.3,1,10,0,42.0,2,3,22.0
CUST-00221,2023-01-10 04:00:00,One year,Mailed Check,33,88.53,3718.26,2,7,0,42.0,1,3,8.0
CUST-00222,2023-01-10 05:00:00,Month-to-month,Mailed Check,29,48.94,2055.48,2,4,0,42.0,0,3,7.0
CUST-00223,2023-01-10 06:00:00,Month-to-month,Credit Card,34,92.68,3892.56,1,1,0,42.0,0,1,7.0
